Environment,latency,uptime,fault_recovery,sla_violations,quality_score
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Home,0.68,0.72,0.61,0.66,0.71
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Office,0.64,0.70,0.59,0.63,0.69
Smart Factory,0.62,0.68,0.57,0.61,0.68
Smart Factory,0.62,0.68,0.57,0.61,0.68
Smart Factory,0.62,0.68,0.57,0.61,0.68
Smart Factory,0.62,0.68,0.57,0.61,0.68
Smart Factory,0.62,0.68,0.57,0.61,0.68
Smart Factory,0.62,0.68,0.57,0.61,0.68
Smart Factory,0.62,0.68,0.57,0.61,0.68
Smart Factory,0.62,0.68,0.57,0.61,0.68
Smart Factory,0.62,0.68,0.57,0.61,0.68
Smart Factory,0.62,0.68,0.57,0.61,0.68
